session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
MSFT_2024-10-01,log_inter_arrival_time,0.650594642658664,0.4424752695342892,0.9686541394539238,0.6952557314016028
MSFT_2024-12-02,spread,0.3237666666666666,0.5359777777777778,0.3776735311731554,0.7963072439969809
MSFT_2024-12-02,orderbook_imbalance,0.15855780463929198,0.11575183196721141,,
MSFT_2024-12-02,ask_volume_touch,5.5555555555737535e-06,5.5555555555737535e-06,0.1963473565423591,0.4729901957224539
MSFT_2024-12-02,bid_volume_touch,1.1111111111091996e-05,0.39782777777777784,0.21895851255582185,0.4716335865413959
MSFT_2024-12-02,ask_volume_3,0.6364499999999998,0.6201166666666666,0.1553089205718357,0.14733915582246687
MSFT_2024-12-02,bid_volume_3,0.4290777777777777,0.4304666666666667,0.2159269935259756,0.18756810280846795
MSFT_2024-12-02,limit_ask_order_depth,0.8643811197236186,0.8888410614837144,0.5014127602050308,0.7412980447542165
MSFT_2024-12-02,limit_bid_order_depth,0.7527080134261682,0.13911759211719782,0.04255859215872951,0.29768898535598787
MSFT_2024-12-02,log_inter_arrival_time,0.7002834278092697,0.39112481938423915,1.023811736848473,0.6487754222151747
INTC_2024-02-01,spread,0.11797777777777779,0.11443888888888892,0.4630573356212209,0.3357729248212764
INTC_2024-02-01,orderbook_imbalance,0.6082098546852572,0.4051823030741448,,
INTC_2024-02-01,ask_volume_touch,0.9046,0.8142666666666667,1.7229218080128708,1.5805831599144193
INTC_2024-02-01,bid_volume_touch,0.9406944444444445,0.8907277777777778,1.8701507159995612,1.7595791444881268
INTC_2024-02-01,ask_volume_3,0.7933833333333336,0.7364444444444447,1.539961050744084,1.456692531715651
INTC_2024-02-01,bid_volume_3,0.9651944444444446,0.9316388888888889,1.8382838788335971,1.692418747468912
INTC_2024-02-01,limit_ask_order_depth,0.19436497629927402,0.3136304228433183,0.597704307881026,0.49475369100884914
INTC_2024-02-01,limit_bid_order_depth,0.18269247995650698,0.3302462049710807,0.6136909934498893,0.4911350216596315
INTC_2024-02-01,log_inter_arrival_time,0.6813382238523952,0.23548960764699342,1.0174488945703515,0.48299603286405823
INTC_2024-04-01,spread,0.11457222222222224,0.12276111111111114,0.1819796767257532,0.20047847279426342
INTC_2024-04-01,orderbook_imbalance,0.37895450446111434,0.34782765641084706,,
INTC_2024-04-01,ask_volume_touch,0.6334444444444444,0.7584555555555555,1.1500298574214285,1.195345479086278
INTC_2024-04-01,bid_volume_touch,0.6162166666666666,0.7313833333333334,1.301197401389805,1.4842719784540181
INTC_2024-04-01,ask_volume_3,0.7334055555555555,0.9337277777777778,1.0838384707735051,1.6226982211804972
INTC_2024-04-01,bid_volume_3,0.5549833333333333,0.6964722222222222,1.1775347475874343,1.4144078861307314
INTC_2024-04-01,limit_ask_order_depth,0.3054732079086753,0.2695641901237919,0.1592149861471827,0.2672054123517561
INTC_2024-04-01,limit_bid_order_depth,0.18515123299329855,0.0020641562064156334,0.4418899205547273,0.4482276714929064
INTC_2024-04-01,log_inter_arrival_time,0.7124374791597198,0.2655329554295876,1.0859416087736207,0.5762706433593017
INTC_2024-08-02,spread,0.27070000000000005,0.21298888888888884,0.2012778777751334,0.08795264222188216
INTC_2024-08-02,orderbook_imbalance,0.49875935527821097,0.2775342691385797,,
INTC_2024-08-02,ask_volume_touch,0.3881888888888889,0.5279111111111111,0.8563789795332706,1.0552910916827383
INTC_2024-08-02,bid_volume_touch,0.46491111111111105,0.39337222222222223,0.9356659399630651,0.7287044885874556
