queue,n,exposure,add,cancel,exec,move,lambda_move,lambda_add,lambda_add_lo,lambda_add_hi,lambda_cancel,lambda_cancel_lo,lambda_cancel_hi,lambda_exec,lambda_exec_lo,lambda_exec_hi,lambda_total
-3,10,44.57625795500644,211.0,333.0,43.0,0.0,0.0,4.733461481064096,4.116283954041861,5.417066156188505,7.47034442272201,6.68944395998701,8.317369178979646,0.9646390696007401,0.6981140777536289,1.299362496260825,13.168444973386848
-3,11,40.19087688397849,163.0,218.0,49.0,0.0,0.0,4.055646769552759,3.45692984231511,4.728264864812777,5.424116538420254,4.727937515788278,6.1939442372976865,1.219182157718314,0.9019576719730608,1.6118234687917978,10.698945465691326
-3,12,13.04201608702715,92.0,125.0,34.0,0.0,0.0,7.054124100606814,5.686619635443791,8.651257002658319,9.584407745389694,7.977976593357933,11.419389146059604,2.6069589067459966,1.8053948275676017,3.6429637701844815,19.245490752742505
-3,13,11.25519995700597,69.0,91.0,45.0,0.0,0.0,6.1304997035658975,4.769894694178852,7.758539735288236,8.085151782963719,6.509659870700439,9.92677476573848,3.9981519805864547,2.9162794898017865,5.349841915467523,18.213803467116072
-3,14,6.410737620011787,42.0,52.0,14.0,0.0,0.0,6.551508186654312,4.721750838466236,8.855735820675541,8.11139108823867,6.057974838843868,10.637010244812906,2.183836062218104,1.1939234967920154,3.664105835264615,16.846735337111088
-3,15,8.595323862980877,36.0,51.0,7.0,0.0,0.0,4.188323857702218,2.933450538834144,5.79840565448477,5.933458798411476,4.417849803407139,7.801402535325616,0.8143963056643203,0.32742955313656313,1.67796764748089,10.936178961778015
-3,16,5.115202809996845,24.0,38.0,13.0,0.0,0.0,4.69189607753105,3.0061863480044395,6.98116945118257,7.428835456090829,5.257086110572561,10.19665707434419,2.5414437086626522,1.353211739224876,4.345946142098828,14.662175242284532
-3,17,3.037970900993969,13.0,24.0,17.0,0.0,0.0,4.279171994618723,2.2784788651988293,7.317514434020909,7.900009836219181,5.061685366918855,11.754588426791553,5.595840300655253,3.2597831883008377,8.959482398926589,17.775022131493156
-3,18,1.4524454809943563,14.0,14.0,31.0,0.0,0.0,9.638916009718645,5.269685076964576,16.1724632209633,9.638916009718645,5.269685076964576,16.1724632209633,21.34331402151986,14.50174636828499,30.295130577379467,40.62114604095715
-3,19,1.1741972870004247,8.0,9.0,11.0,0.0,0.0,6.813165120178911,2.941441114696812,13.424651372225163,7.664810760201275,3.5048395554475893,14.550198370040171,9.368102040246002,4.676522785420856,16.76212228660586,23.84607792062619
-3,20,1.6789395159721607,14.0,11.0,18.0,0.0,0.0,8.338596993408391,4.558788570694114,13.990748861631458,6.551754780535165,3.270612380611744,11.722899083654847,10.721053277239362,6.353975636949879,16.943886302572256,25.611405051182917
-3,21,2.7604955160277314,14.0,8.0,21.0,0.0,0.0,5.071553247855143,2.7726653536877923,8.509204592238,2.898030427345796,1.2511638423953901,5.710275249016185,7.6073298717827145,4.70905709087397,11.628611801237529,15.576913546983654
-3,22,4.47456492602214,31.0,15.0,29.0,0.0,0.0,6.928047868903939,4.707272400194386,9.833810935975462,3.352281226889003,1.876246355027584,5.529078084800471,6.481077038652073,4.340479009389133,9.307907724475047,16.761406134445014
-3,23,3.1128481269915937,13.0,22.0,21.0,0.0,0.0,4.1762397231257875,2.2236717657322753,7.14149711494065,7.067482608366717,4.429153723459777,10.700253603222183,6.746233398895503,4.176024802289139,10.312334372048872,17.989955730388008
-3,24,1.9165069080117973,7.0,12.0,4.0,0.0,0.0,3.6524783556673257,1.468485732952308,7.525501369919192,6.261391466858273,3.2353523396139243,10.937390812706589,2.0871304889527575,0.5686728125373478,5.3438829949370845,12.001000311478355
-3,25,1.1464041819999693,8.0,3.0,6.0,0.0,0.0,6.978341605526535,3.012752597188793,13.750114896382799,2.6168781020724508,0.539663176922725,7.6476283036994,5.2337562041449015,1.9206962850131244,11.391683864704389,14.828975911743887
-3,26,1.813912810976035,9.0,6.0,20.0,0.0,0.0,4.961649725136048,2.2687821997154995,9.418756705415259,3.307766483424032,1.213892001956836,7.19961507713902,11.025888278080107,6.734899004782069,17.028590192300417,19.295304486640187
-3,28,1.0077039630123181,4.0,4.0,17.0,0.0,0.0,3.969419737164519,1.0815332812311291,10.163291057017013,3.969419737164519,1.0815332812311291,10.163291057017013,16.870033882949205,9.827416417023889,27.010558472492477,24.808873357278244
-3,29,1.6126288000014029,2.0,0.0,4.0,0.0,0.0,1.240211014461766,0.1501953075275316,4.4800686107786705,0.0,0.0,2.2874944650069047,2.480422028923532,0.675831520325928,6.3508655404112755,3.720633043385298
-2,0,17547.768253962742,13276.0,0.0,28.0,0.0,0.0,0.7565634448700868,0.743748060186511,0.7695442523398794,0.0,0.0,0.0002102192940279395,0.0015956445056012677,0.0010602941859376254,0.0023061505803810417,0.7581590893756881
-2,1,3435.141507204098,11732.0,8342.0,7863.0,0.0,0.0,3.415288708018556,3.3537647492031746,3.4776578552235886,2.4284297990360377,2.3765939720646605,2.4811113026486717,2.288988672958567,2.2386711249234423,2.34015199107174,8.132707180013162
-2,2,946.0103513602371,6289.0,5137.0,2391.0,0.0,0.0,6.647918800208956,6.4846202319590285,6.814289894363831,5.430173139874925,5.2826835264702146,5.5807366645914875,2.527456487724537,2.4271537910500642,2.6308397944239887,14.605548427808417
-2,3,458.076369186012,3134.0,3146.0,948.0,0.0,0.0,6.841653948596004,6.60419840019186,7.085466006470591,6.867850453823557,6.629936754261893,7.112120590276688,2.069523912976711,1.9398646180160328,2.2055707566447023,15.779028315396273
-2,4,376.80138936895673,2172.0,2498.0,649.0,0.0,0.0,5.764309955537927,5.524414971671483,6.011941824711804,6.629487232474098,6.3720348216581995,6.894672782427215,1.7223927997901078,1.5924112615455301,1.860157096246369,14.116189987802132
-2,5,249.42619992893015,1322.0,1715.0,406.0,0.0,0.0,5.300164940077193,5.018273448940914,5.5937679204829776,6.875781295183348,6.5541797232255625,7.2090812697824544,1.627735980084221,1.473234709395241,1.794034675366438,13.803682215344763
-2,6,123.50114404808846,767.0,973.0,203.0,0.0,0.0,6.210468784818286,5.778671408352762,6.665986637522286,7.878469527546534,7.391150480208401,8.389477241788747,1.6437094697758956,1.4253607719955927,1.8860446797592298,15.732647782140715
-2,7,99.56764690099953,369.0,513.0,182.0,0.0,0.0,3.7060231057473723,3.3374921169949214,4.104131275480865,5.152276025063419,4.716013818770849,5.61803871798269,1.8279029952466712,1.571978004429868,2.113618129286595,10.686202126057463
-2,8,46.7619064769824,246.0,308.0,124.0,0.0,0.0,5.260692271413025,4.623784893045003,5.960817617763552,6.586557803232568,5.871435020329094,7.364759154631288,2.651731063639086,2.20557270396652,3.1616400020423985,14.498981138284678
-2,9,39.441678910960036,208.0,185.0,91.0,0.0,0.0,5.273609180520991,4.58123840796306,6.041066717384715,4.690469703828766,4.038900608530729,5.417227199808662,2.3072040164779333,1.8576167526294507,2.8327352689213443,12.271282900827691
-2,10,20.960428778009373,180.0,162.0,69.0,0.0,0.0,8.58761058308344,7.378851943373498,9.937899129254824,7.728849524775097,6.584500637695471,9.014912279591393,3.2919173901819856,2.5613082215746275,4.166132144522785,19.60837749804052
-2,11,13.418342687051336,105.0,110.0,75.0,0.0,0.0,7.825109437794037,6.400164261951048,9.47277207277584,8.19773369673661,6.737540112136043,9.880485997332848,5.5893638841385975,4.396389261870531,7.006316028845738,21.612207018669245
-2,12,8.091322753025452,82.0,99.0,33.0,0.0,0.0,10.134313325882239,8.060120138393794,12.579354976046396,12.235329503199289,9.944272069002496,14.896074650845947,4.078443167733096,2.8074126154757755,5.72765055649777,26.448085996814623
-2,13,12.636035495954275,51.0,70.0,43.0,0.0,0.0,4.036076031626284,3.0051237075464585,5.306694603546596,5.539712200271371,4.318477431107,6.999093098492431,3.4029660658809853,2.462743415205724,4.5837729586093925,12.978754297778641
-2,14,6.371677635979722,62.0,52.0,26.0,0.0,0.0,9.730561328133913,7.460365574327034,12.474140472350664,8.161115952628444,6.095111745949104,10.702217788892844,4.080557976314222,2.6655559471010237,5.978962882240558,21.97223525707658
-2,15,2.685964484968281,23.0,25.0,33.0,0.0,0.0,8.563032061189599,5.428227781357599,12.848752501372179,9.307643544771304,6.023416146554292,13.739917971389776,12.286089479098122,8.457178678219973,17.25423754801307,30.156765085059025
-2,16,1.9211704319968703,21.0,17.0,27.0,0.0,0.0,10.930836562049592,6.766360114424957,16.708944818382285,8.848772454992528,5.154736042504021,14.167741894515558,14.05393272263519,9.261630220526817,20.447734251422254,33.83354173967731
-2,17,1.6572857180290157,17.0,23.0,18.0,0.0,0.0,10.25773637886522,5.975509450105516,16.42362962511819,13.878113924347062,8.79753374957245,20.82398497700009,10.861132636445527,6.436995542981417,17.16527208196814,34.996982939657805
-2,18,1.1180170419902424,8.0,12.0,7.0,0.0,0.0,7.155525988905114,3.089248237755078,14.099238766640276,10.73328898335767,5.546047042077497,18.74889582260937,6.261085240291975,2.517280994670588,12.900228547525353,24.149900212554762
-2,19,1.0369693889879272,12.0,9.0,19.0,0.0,0.0,11.572183448647305,5.9795160537708085,20.21427562932717,8.679137586485478,3.9686543702074957,16.47570664365877,18.322623793691566,11.031416438947467,28.613046717361705,38.573944828824345
-2,22,2.961248980995151,10.0,8.0,29.0,0.0,0.0,3.376953462602601,1.6193804461929793,6.21033765145866,2.701562770082081,1.166343052851913,5.323155641879181,9.793165041547542,6.558636326156236,14.064618580160786,15.871681274232225
-1,0,23006.233009074735,7480.0,0.0,49.0,30058.0,1.3065154990016714,0.3251292811408777,0.31780247280424884,0.3325823864858356,0.0,0.0,0.0001603426103116868,0.0021298575903613646,0.0015756803703818117,0.0028157846861485668,0.3272591387312391
-1,1,214.634671548185,1299.0,986.0,1645.0,515.0,2.3994259468204495,6.0521442813976,5.727460249983228,6.390439291389161,4.593852395271774,4.31155150729067,4.889782822204007,7.664185791300271,7.298252165469392,8.043716394792883,18.310182467969643
-1,2,59.74542451703019,852.0,479.0,657.0,127.0,2.1256857914500076,14.26050625445202,13.318902729066332,15.251112917880238,8.01735034727995,7.315354468928886,8.76853464467531,10.996657991989409,10.171756952015103,11.870639307837113,33.27451459372138
-1,3,25.37279479316203,282.0,262.0,189.0,7.0,0.2758860447602919,11.114266374628901,9.854797386702858,12.490086228718651,10.326020532456639,9.113411496956031,11.655064999685923,7.44892320852788,6.424764729855857,8.58993155834125,28.88921011561342
-1,4,24.86224431993469,257.0,198.0,177.0,10.0,0.4022163032153112,10.336958992633498,9.111687185548524,11.681080376746113,7.963882803663163,6.89317813379492,9.153772438590387,7.1192285669110085,6.109024245650724,8.248775672080772,25.420070363207667
-1,5,17.96927113198035,113.0,92.0,78.0,5.0,0.27825279964201655,6.288513271909574,5.182624981124446,7.560527315394116,5.119851513413105,4.127322929324004,6.279043383171513,4.340743674415458,3.4311777451724272,5.417444554977972,15.749108459738137
-1,6,12.017905945038365,85.0,67.0,69.0,2.0,0.16641834352395704,7.0727795997681735,5.649485136204213,8.745601504918705,5.57501450805256,4.320559668436878,7.080071354937262,5.741432851576517,4.4671774602304435,7.266150733281222,18.389226959397252
-1,7,9.77941247291892,108.0,44.0,96.0,0.0,0.0,11.043608222791791,9.059285877768112,13.333388958833817,4.49924779447073,3.2691603352120304,6.0400301596725035,9.816540642481593,7.951429437129045,11.987676286685698,25.359396659744114
-1,8,11.181782732004649,94.0,63.0,56.0,0.0,0.0,8.406530716336666,6.793332532000643,10.287464573925726,5.634164203502233,4.329446471618951,7.208543504980077,5.008145958668652,3.783099635942079,6.503494098435922,19.04884087850755
