queue,n,cls,exposure,add,cancel,exec,move,lambda_add,lambda_cancel,lambda_exec,lambda_move
-1,9,1,135.56797482600086,2359.0,2418.0,127.0,0.0,17.400864791465207,17.83607082058621,0.9367994186163974,0.0
-1,9,2,614.735782288175,4881.0,4392.0,385.0,0.0,7.939996565405545,7.144532865245063,0.6262853263022198,0.0
-1,9,3,568.1922357710937,2978.0,2528.0,670.0,0.0,5.241183903117853,4.449198424137653,1.1791783798149635,0.0
-1,10,0,5.212592358875554,2114.0,955.0,3.0,0.0,405.5563632173275,183.21018300498946,0.575529370696302,0.0
-1,10,1,124.99928284890484,2218.0,2154.0,152.0,0.0,17.744101801616317,17.23209886414858,1.2160069764858792,0.0
-1,10,2,559.7564418497641,4170.0,3999.0,343.0,0.0,7.44966862055195,7.144178612371043,0.6127665076377263,0.0
-1,10,3,547.8097501637894,2672.0,2337.0,625.0,0.0,4.877605773174172,4.266079600264985,1.1409070390096772,0.0
-1,11,0,7.470439334058028,2131.0,964.0,6.0,0.0,285.25765416294684,129.04194209905245,0.8031656147243929,0.0
-1,11,1,110.89352484497067,1845.0,1828.0,132.0,0.0,16.63758098211156,16.484280777940345,1.1903309970941605,0.0
-1,11,2,438.33853623532195,3437.0,3310.0,294.0,0.0,7.8409715685021295,7.5512411672220106,0.6707144722547647,0.0
-1,11,3,439.5961092322759,2369.0,2103.0,493.0,0.0,5.389037687656731,4.7839367906889425,1.1214839932523295,0.0
-1,12,0,4.589018385267991,1997.0,910.0,11.0,0.0,435.16931778066487,198.29948882343768,2.39702678797562,0.0
-1,12,1,105.03494409973064,1499.0,1597.0,73.0,0.0,14.271440927094702,15.204463749546523,0.6950067963161529,0.0
-1,12,2,410.41809494671907,3025.0,2762.0,258.0,1.0,7.370532725640932,6.729722772965373,0.628627253955491,0.002436539744013531
-1,12,3,459.9985830285368,2071.0,2006.0,463.0,0.0,4.502187781460018,4.360882998362528,1.006524839602119,0.0
-1,13,0,3.2463040978909703,1802.0,815.0,22.0,0.0,555.092790342934,251.05473037152677,6.776937506961459,0.0
-1,13,1,70.2916624080608,1308.0,1233.0,67.0,0.0,18.608181328913957,17.541198454549622,0.9531713677654702,0.0
-1,13,2,369.3071698471467,2502.0,2303.0,220.0,0.0,6.7748481596919925,6.236001323649344,0.5957100699968978,0.0
-1,13,3,363.187434536012,1744.0,1762.0,402.0,0.0,4.801928244648764,4.851489430660047,1.106866487585323,0.0
-1,14,0,2.902860238958965,1767.0,763.0,16.0,0.0,608.7099806891455,262.8442078470957,5.511805144893225,0.0
-1,14,1,58.2958248548166,1164.0,1140.0,53.0,1.0,19.967124625115005,19.55543133387552,0.9091560181538619,0.017153887134978528
-1,14,2,337.97950934073015,2373.0,2116.0,171.0,0.0,7.021135703252612,6.260734575677423,0.5059478319663703,0.0
-1,14,3,269.2252306661612,1367.0,1335.0,385.0,0.0,5.077533025480355,4.958673437466184,1.4300294182954914,0.0
-1,15,0,1.3522785909372033,1582.0,747.0,6.0,0.0,1169.8772801716748,552.4009660481928,4.436955550587894,0.0
-1,15,1,43.590642722185294,1028.0,992.0,43.0,0.0,23.583042960658236,22.757177642969815,0.9864502405722803,0.0
-1,15,2,242.7384119060298,1862.0,1771.0,138.0,0.0,7.670809021856942,7.295919859134611,0.5685132357767229,0.0
-1,15,3,248.0441420540592,1347.0,1141.0,347.0,0.0,5.430485029178525,4.599987689898068,1.3989445472345572,0.0
-1,16,0,1.829360981042555,1530.0,681.0,4.0,0.0,836.3576220632251,372.2611376634355,2.1865558746750984,0.0
