queue,n,cls,exposure,add,cancel,exec,move,lambda_add,lambda_cancel,lambda_exec,lambda_move
-1,8,2,1.8222025929862866,14.0,9.0,20.0,0.0,7.683009591736082,4.939077594687482,10.975727988194404,0.0
-1,8,3,2.9091402209960506,16.0,6.0,14.0,0.0,5.499906771259659,2.062465039222372,4.8124184248522015,0.0
-1,9,0,2.316817085004004,45.0,32.0,5.0,0.0,19.423199307045092,13.812052840565398,2.1581332563383433,0.0
-1,10,0,1.2260611599995173,25.0,31.0,0.0,0.0,20.39049993232788,25.284219916086574,0.0,0.0
-1,10,3,1.3952199700070196,8.0,9.0,3.0,0.0,5.733862883255427,6.4505957436623556,2.1501985812207853,0.0
-1,11,0,1.2372962549998192,23.0,9.0,2.0,0.0,18.588919110567712,7.273924869352583,1.6164277487450185,0.0
-1,12,0,1.7343462249846198,16.0,12.0,2.0,0.0,9.225378283475024,6.919033712606268,1.153172285434378,0.0
-1,14,0,1.333770376018947,5.0,4.0,2.0,0.0,3.7487712202186234,2.999016976174899,1.4995084880874494,0.0
1,0,0,22616.552272095883,9042.0,0.0,21.0,27650.0,0.39979568464800647,0.0,0.0009285234879018066,1.2225559257373788
1,0,1,129.4938787540159,74.0,0.0,5.0,326.0,0.5714555831675179,0.0,0.03861186372753499,2.517493515035281
1,0,2,93.755889058084,166.0,0.0,13.0,698.0,1.7705554463587783,0.0,0.13865795664255492,7.444865672038718
1,0,3,80.18472696497338,177.0,0.0,53.0,352.0,2.2074029144891627,0.0,0.6609737540560771,4.389863423164889
1,1,0,252.97033238317817,1786.0,1174.0,827.0,217.0,7.060116430154021,4.640860408175151,3.269158055843995,0.8578080992964292
1,1,1,16.301292343960085,133.0,107.0,238.0,127.0,8.15886232782512,6.563896759979609,14.60006942873969,7.790793350630002
1,1,2,9.811594490878633,137.0,120.0,332.0,173.0,13.96307196830875,12.230428001438321,33.83751747064602,17.632200368740246
1,1,3,14.06669901002897,184.0,97.0,256.0,72.0,13.080538644412288,6.89571874189126,18.199010287877964,5.118471643465678
1,2,0,75.31125647385488,1087.0,526.0,465.0,72.0,14.433433339109989,6.984347687554603,6.174375807438955,0.9560323830873221
1,2,1,8.939509520081629,95.0,47.0,113.0,27.0,10.626981243947771,5.257559141742581,12.640514532274716,3.0202999324904187
1,2,2,4.888898312085075,123.0,49.0,263.0,69.0,25.159042415742434,10.022707954238856,53.79535085642488,14.113609160050634
1,2,3,10.418788073046017,147.0,72.0,261.0,43.0,14.109126605645926,6.910592623173515,25.05089825900399,4.127159483284182
1,3,0,22.12358908492024,301.0,266.0,90.0,1.0,13.605387391920326,12.02336560216215,4.068056030806742,0.04520062256451936
1,3,1,1.482873945053143,25.0,26.0,14.0,1.0,16.859153863617216,17.533520018161905,9.441126163625642,0.6743661545446887
1,3,2,2.262259838040336,33.0,32.0,44.0,1.0,14.587183773100962,14.145147901188812,19.449578364134616,0.4420358719121504
1,3,3,3.2475347699801205,31.0,46.0,77.0,2.0,9.54570226208533,14.164590453416942,23.710292715502273,0.6158517588442148
1,4,0,20.56650846292905,169.0,156.0,74.0,4.0,8.217243111762068,7.58514748778037,3.598082782665047,0.19449096122513768
1,4,2,1.599590843950864,16.0,21.0,42.0,7.0,10.002557879414498,13.128357216731528,26.256714433463056,4.376119072243843
1,4,3,4.440918992026127,23.0,25.0,91.0,0.0,5.179108207399763,5.62946544282583,20.491254211886023,0.0
1,5,0,5.305640746009885,52.0,49.0,21.0,4.0,9.800889749104606,9.23545380204088,3.958051629446091,0.7539145960849697
1,5,3,2.4520952029924956,21.0,15.0,25.0,1.0,8.564104678469235,6.117217627478025,10.195362712463375,0.407814508498535
1,6,0,4.768466553949111,35.0,32.0,9.0,0.0,7.3398858110924525,6.710752741570242,1.8873992085666307,0.0
1,6,3,1.2796386139889364,7.0,7.0,12.0,1.0,5.470294443662764,5.470294443662764,9.377647617707597,0.7814706348089664
1,7,0,1.5658135280318675,15.0,22.0,8.0,1.0,9.579684765435696,14.05020432263902,5.109165208232371,0.6386456510290464
1,8,0,2.398171746004664,21.0,7.0,8.0,1.0,8.756670590830637,2.9188901969435457,3.3358745107926238,0.41698431384907797
1,9,0,1.929998119980155,18.0,12.0,18.0,3.0,9.326433955378715,6.217622636919143,9.326433955378715,1.5544056592297857
