session,decile,orders,fill_prob,median_ttf_s,median_life_s,median_own_size,adverse_1s,adverse_10s,adverse_60s,adverse_10s_lo,adverse_10s_hi,half_spread_ticks,edge_ticks
INTC_2024-02-01,6,22910,0.06765604539502401,0.9226544209996064,0.05684589850352495,200.0,0.5119354838709678,0.5516129032258065,0.7319354838709677,0.4241465740272615,0.686465149172234,0.5424050632911392,-0.0006229660366099609
INTC_2024-02-01,7,36165,0.05936679109636389,1.4017948679975234,0.033398663996194955,200.0,0.4983698183511877,0.555891942244993,0.6164415463437355,0.4560657270057669,0.6740055986340121,0.550656712290889,-0.0003107988030267237
INTC_2024-02-01,8,71488,0.06438842882721575,2.1875186520046555,0.011241733998758718,200.0,0.5273734520964588,0.5112969802302846,0.617640669128829,0.44273543765805873,0.5785694091487795,0.5806429051029544,0.004465075148121348
INTC_2024-02-01,9,166156,0.0825549483617805,2.689049629996589,0.006164386999444105,100.0,0.5048115477145149,0.4556389881169352,0.4591018444266239,0.4132668325240526,0.5099727711400034,0.6395315245913479,0.015181238852761975
INTC_2024-04-01,0,11809,0.3382166144466085,0.0002488669997546822,0.0068638199954875745,100.0,0.44629444166249377,0.4371557336004006,0.21757636454682022,0.28468477837278605,0.569142881652351,0.5161741044965704,0.026725325883588974
INTC_2024-04-01,1,549,0.24225865209471767,0.12513397799921222,0.014580779999960214,100.0,0.42105263157894735,0.09398496240601503,-1.3045112781954886,-0.673772804576376,0.6595851063829786,0.5336976320582878,0.10652419865892947
INTC_2024-04-01,2,1025,0.22829268292682928,0.1749835644986888,0.01568952199886553,400.0,0.6068376068376068,0.8910256410256411,0.7905982905982906,0.6424787920349486,1.1535433070866141,0.5282926829268293,-0.08280928019036289
INTC_2024-04-01,3,1383,0.2313810556760665,0.4353723904969229,0.020121667002968024,400.0,0.6109375,0.509375,0.809375,0.26711897419250125,0.7616080361137093,0.529645697758496,0.0046902554466512775
INTC_2024-04-01,4,1839,0.18977705274605763,0.4666297459989437,0.010585517004074063,400.0,0.5329512893982808,0.5902578796561605,0.6418338108882522,0.40551924381923554,0.7810129156817667,0.5337139749864056,-0.01073073557898013
INTC_2024-04-01,5,12120,0.15882838283828382,0.10512796299735783,0.07659330000024056,100.0,0.5150649350649351,0.6127272727272727,0.7189610389610389,0.4914104373780787,0.7438456138942732,0.5285478547854785,-0.013370080819963184
