session,latency_s,latency,quotes,fills,fill_rate,crossed_share,alone_share,median_ahead,gross_ticks,adverse_ticks,net_ticks,net_total_ticks
INTC_2024-08-02,0.0,0,52478,3735,0.07117268188574259,0.0,0.0017340599870421891,984.0,0.512182061579652,0.6143239625167336,-0.10214190093708166,-381.5
INTC_2024-08-02,1e-05,10us,52478,7618,0.1451655932009604,0.00041922329357063913,0.011705048040262315,1074.5,0.23273825150958258,0.5635337358886847,-0.3307954843791021,-2520.0
INTC_2024-08-02,0.0001,100us,52478,6247,0.1190403597698083,0.011357140134913677,0.047453837554450484,1300.0,0.15255322554826317,0.5261725628301585,-0.37361933728189534,-2334.0
INTC_2024-08-02,0.001,1ms,52469,8633,0.16453524938535136,0.06868817778116602,0.07209659265322828,1400.0,-0.0916830765666628,0.45633036024556933,-0.5480134368122321,-4731.0
INTC_2024-08-02,0.01,10ms,52333,10711,0.2046700934400856,0.11577780750195861,0.07896442926913602,1401.0,-0.2837736905984502,0.3266268322285501,-0.6104005228270003,-6538.0
INTC_2024-08-02,0.1,100ms,52047,12286,0.2360558725767095,0.16187292255077143,0.08502590436018523,1518.0,-0.5229936513104346,0.37856096369851866,-0.9015546150089533,-11076.5
INTC_2024-10-01,0.0,0,14438,1189,0.08235212633328716,0.0,0.0009004017176894307,1500.0,0.5004205214465938,0.6047098402018503,-0.10428931875525652,-124.0
INTC_2024-10-01,1e-05,10us,14438,2136,0.14794292838343262,0.0002770466823659787,0.006512401274767909,1851.0,0.2165262172284644,0.4440543071161049,-0.22752808988764045,-486.0
INTC_2024-10-01,0.0001,100us,14438,1045,0.07237844576811192,0.010804820612273168,0.035429211595014706,3540.0,0.09665071770334928,0.3076555023923445,-0.21100478468899522,-220.5
INTC_2024-10-01,0.001,1ms,14438,1935,0.1340213325945422,0.08491480814517247,0.023539206781713593,3885.0,-0.24496124031007752,0.11085271317829458,-0.3558139534883721,-688.5
INTC_2024-10-01,0.01,10ms,14433,2311,0.16011917134344905,0.11355920460056815,0.019227763013912772,3600.0,-0.3191259195153613,-0.035482475118996104,-0.2836434443963652,-655.5
INTC_2024-10-01,0.1,100ms,14419,2620,0.18170469519384147,0.14258963867119773,0.025317479576154656,3492.0,-0.42309160305343513,-0.04541984732824427,-0.37767175572519085,-989.5
INTC_2024-12-02,0.0,0,24160,2065,0.08547185430463576,0.0,0.000869205298013245,1300.0,0.5113801452784503,0.6617433414043583,-0.15036319612590798,-310.5
